Locality,Type,Rent/Month,Build_up_area(sq.ft),Furnishing,Bathrooms,Balcony,Parking,Carpet_area(sq.ft),
Andheri,2 BHK Apartment,18000,1200 sq.ft,Unfurnished,2,1,2,450 sq.ft,Kasarani
Andheri,2 BHK Apartment,16000,1200 sq.ft,Unfurnished,2,Missing,2,800 sq.ft,Kasarani
Bandra,3 BHK Apartment,70000,1050 sq.ft,Unfurnished,3,Missing,2,850 sq.ft,Nyayo Estate
Bandra,2 BHK Apartment,40000,750 sq.ft,Unfurnished,2,2,1,650 sq.ft,Nyayo Estate
Bandra,3 BHK Apartment,70000,1610 sq.ft,Unfurnished,3,2,2,1100 sq.ft,Nyayo Estate
Bandra,1 BHK Apartment,30000,600 sq.ft,Unfurnished,2,Missing,1,520 sq.ft,Nyayo Estate
Bandra,1 BHK Apartment,30000,550 sq.ft,Unfurnished,1,Missing,1,500 sq.ft,Nyayo Estate
Bandra,1 BHK Apartment,30000,550 sq.ft,Unfurnished,1,Missing,1,500 sq.ft,Nyayo Estate
Bandra,2 BHK Apartment,40000,745 sq.ft,Unfurnished,2,Missing,1,620 sq.ft,Nyayo Estate
Bandra,1 BHK Apartment,30000,800 sq.ft,Unfurnished,1,Missing,1,470 sq.ft,Nyayo Estate
Bandra,2 BHK Apartment,40000,1000 sq.ft,Unfurnished,2,Missing,1,615 sq.ft,Nyayo Estate
Bandra,2 BHK Apartment,40000,950 sq.ft,Unfurnished,2,1,1,690 sq.ft,Nyayo Estate
Bandra,2 BHK Apartment,40000,800 sq.ft,Unfurnished,2,Missing,1,615 sq.ft,Nyayo Estate
Bandra,3 BHK Apartment,70000,1600 sq.ft,Unfurnished,3,3,1,1000 sq.ft,Nyayo Estate
Bandra,1 BHK Apartment,30000,800 sq.ft,Unfurnished,1,1,1,575 sq.ft,Nyayo Estate
Bandra,2 BHK Apartment,40000,1000 sq.ft,Unfurnished,2,2,1,650 sq.ft,Nyayo Estate
Bandra,2 BHK Apartment,40000,1000 sq.ft,Unfurnished,2,Missing,1,615 sq.ft,Nyayo Estate
Bandra,2 BHK Apartment,40000,1200 sq.ft,Unfurnished,2,Missing,1,1000 sq.ft,Nyayo Estate
Bandra,2 BHK Apartment,40000,1000 sq.ft,Unfurnished,2,Missing,1,800 sq.ft,Nyayo Estate
Bandra,3 BHK Apartment,70000,1500 sq.ft,Unfurnished,3,Missing,1,1000 sq.ft,Nyayo Estate
Bandra,2 BHK Apartment,40000,1010 sq.ft,Unfurnished,2,1,1,875 sq.ft,Nyayo Estate
Bandra,2 BHK Apartment,40000,1200 sq.ft,Unfurnished,2,2,2,750 sq.ft,Nyayo Estate
Bandra,2 BHK Apartment,40000,1010 sq.ft,Unfurnished,2,Missing,2,Missing,Nyayo Estate
Bhandup,3 BHK Apartment,70000,1800 sq.ft,Unfurnished,3,2,1,Missing,Nyayo Estate
Bhandup,3 BHK Apartment,70000,1700 sq.ft,Unfurnished,3,2,1,1250 sq.ft,Nyayo Estate
Bhandup,3 BHK Apartment,70000,1683 sq.ft,Unfurnished,3,2,1,1050 sq.ft,Nyayo Estate
Bhandup,3 BHK Apartment,70000,1557 sq.ft,Unfurnished,3,1,3,Missing,Nyayo Estate
Chembur,3 BHK Apartment,70000,1800 sq.ft,Unfurnished,3,Missing,1,1400 sq.ft,Nyayo Estate
Chembur,3 BHK Apartment,70000,1400 sq.ft,Unfurnished,3,Missing,1,940 sq.ft,Nyayo Estate
Chembur,2 BHK Apartment,40000,850 sq.ft,Unfurnished,2,Missing,1,700 sq.ft,Nyayo Estate
Chembur,3 BHK Apartment,70000,1050 sq.ft,Unfurnished,2,Missing,1,950 sq.ft,Nyayo Estate
Chembur,3 BHK Apartment,70000,1250 sq.ft,Unfurnished,3,Missing,1,1150 sq.ft,Nyayo Estate
Chembur,2 BHK Apartment,40000,1320 sq.ft,Unfurnished,2,Missing,1,800 sq.ft,Nyayo Estate
Chembur,3 BHK Apartment,70000,1350 sq.ft,Unfurnished,3,1,2,1100 sq.ft,Nyayo Estate
Chembur,2 BHK Apartment,40000,700 sq.ft,Unfurnished,2,2,2,650 sq.ft,Nyayo Estate
Chembur,3 BHK Apartment,70000,1500 sq.ft,Unfurnished,3,Missing,1,1200 sq.ft,Nyayo Estate
Chembur,3 BHK Apartment,70000,1450 sq.ft,Unfurnished,3,3,2,1000 sq.ft,Nyayo Estate
Chembur,2 BHK Apartment,40000,1145 sq.ft,Unfurnished,2,1,1,725 sq.ft,Nyayo Estate
Colaba,1 BHK Apartment,30000,550 sq.ft,Unfurnished,1,Missing,1,Missing,Nyayo Estate
Dadar,2 BHK Apartment,40000,1100 sq.ft,Unfurnished,2,1,1,750 sq.ft,Nyayo Estate
Dadar,2 BHK Apartment,40000,960 sq.ft,Unfurnished,2,1,0,750 sq.ft,Nyayo Estate
Dadar,2 BHK Apartment,40000,980 sq.ft,Unfurnished,2,2,1,800 sq.ft,Nyayo Estate
Dadar,2 BHK Apartment,40000,870 sq.ft,Unfurnished,2,1,1,700 sq.ft,Nyayo Estate
Dadar,2 BHK Apartment,40000,1000 sq.ft,Unfurnished,2,Missing,1,800 sq.ft,Nyayo Estate
Dadar,1 BHK Apartment,30000,650 sq.ft,Unfurnished,2,Missing,1,550 sq.ft,Nyayo Estate
Dadar,2 BHK Apartment,40000,1250 sq.ft,Unfurnished,2,2,1,1120 sq.ft,Nyayo Estate
Dadar,2 BHK Apartment,40000,931 sq.ft,Unfurnished,1,1,1,765 sq.ft,Nyayo Estate
Dadar,2 BHK Apartment,40000,900 sq.ft,Unfurnished,2,1,2,700 sq.ft,Nyayo Estate
Dadar,2 BHK Apartment,40000,950 sq.ft,Unfurnished,2,1,2,700 sq.ft,Nyayo Estate
Ghatkopar,3 BHK Apartment,70000,1300 sq.ft,Unfurnished,2,2,1,950 sq.ft,Nyayo Estate
Ghatkopar,2 BHK Apartment,40000,1175 sq.ft,Unfurnished,2,Missing,1,720 sq.ft,Nyayo Estate
Ghatkopar,3 BHK Apartment,70000,1370 sq.ft,Unfurnished,3,Missing,0,900 sq.ft,Nyayo Estate
Ghatkopar,3 BHK Apartment,70000,1700 sq.ft,Unfurnished,3,Missing,0,Missing,Nyayo Estate
Ghatkopar,3 BHK Apartment,70000,1650 sq.ft,Unfurnished,2,2,1,1255 sq.ft,Nyayo Estate
Ghatkopar,3 BHK Apartment,70000,849 sq.ft,Unfurnished,2,Missing,1,Missing,Nyayo Estate
Ghatkopar,3 BHK Apartment,70000,849 sq.ft,Unfurnished,3,Missing,1,Missing,Nyayo Estate
Ghatkopar,3 BHK Apartment,70000,849 sq.ft,Unfurnished,3,Missing,1,Missing,Nyayo Estate
Girgaon,1 BHK Apartment,30000,600 sq.ft,Unfurnished,1,1,0,500 sq.ft,Nyayo Estate
Goregaon,3 BHK Apartment,70000,1200 sq.ft,Unfurnished,3,2,2,Missing,Nyayo Estate
Goregaon,3 BHK Apartment,70000,1450 sq.ft,Unfurnished,2,Missing,1,1000 sq.ft,Nyayo Estate
Goregaon,3 BHK Apartment,70000,1450 sq.ft,Unfurnished,2,Missing,1,1000 sq.ft,Nyayo Estate
Goregaon,3 BHK Apartment,70000,1450 sq.ft,Unfurnished,3,1,2,1250 sq.ft,Nyayo Estate
Goregaon,3 BHK Apartment,70000,1500 sq.ft,Unfurnished,3,2,2,1200 sq.ft,Nyayo Estate
Goregaon,3 BHK Apartment,70000,1900 sq.ft,Unfurnished,3,3,2,1180 sq.ft,Nyayo Estate
Goregaon,3 BHK Apartment,70000,1900 sq.ft,Unfurnished,3,3,1,1200 sq.ft,Nyayo Estate
Goregaon,3 BHK Apartment,70000,1700 sq.ft,Unfurnished,3,2,1,1150 sq.ft,Nyayo Estate
Goregaon,3 BHK Apartment,70000,1540 sq.ft,Unfurnished,3,3,3,Missing,Nyayo Estate
Goregaon,3 BHK Apartment,70000,1448 sq.ft,Unfurnished,3,3,3,Missing,Nyayo Estate
Goregaon,3 BHK Apartment,70000,1440 sq.ft,Unfurnished,3,3,3,Missing,Nyayo Estate
Goregaon,3 BHK Apartment,70000,1450 sq.ft,Unfurnished,3,Missing,1,1000 sq.ft,Nyayo Estate
Juhu,2 BHK Apartment,40000,850 sq.ft,Unfurnished,2,Missing,1,700 sq.ft,Nyayo Estate
Juhu,2 BHK Apartment,40000,792 sq.ft,Unfurnished,2,Missing,1,660 sq.ft,Nyayo Estate
Juhu,2 BHK Apartment,40000,800 sq.ft,Unfurnished,2,Missing,1,650 sq.ft,Nyayo Estate
Juhu,2 BHK Apartment,40000,1000 sq.ft,Unfurnished,2,Missing,1,800 sq.ft,Nyayo Estate
Juhu,1 BHK Apartment,30000,600 sq.ft,Unfurnished,1,Missing,1,450 sq.ft,Nyayo Estate
Juhu,1 BHK Apartment,30000,650 sq.ft,Unfurnished,2,Missing,1,450 sq.ft,Nyayo Estate
Juhu,2 BHK Apartment,40000,1250 sq.ft,Unfurnished,2,2,1,750 sq.ft,Nyayo Estate
Juhu,2 BHK Apartment,40000,1000 sq.ft,Unfurnished,2,Missing,1,765 sq.ft,Nyayo Estate
Juhu,2 BHK Apartment,40000,900 sq.ft,Unfurnished,Missing,Missing,0,750 sq.ft,Nyayo Estate
Khar,2 BHK Apartment,40000,850 sq.ft,Unfurnished,2,Missing,1,800 sq.ft,Nyayo Estate
Khar,2 BHK Apartment,40000,900 sq.ft,Unfurnished,2,2,1,780 sq.ft,Nyayo Estate
Khar,2 BHK Apartment,40000,750 sq.ft,Unfurnished,2,2,1,650 sq.ft,Nyayo Estate
Khar,2 BHK Apartment,40000,900 sq.ft,Unfurnished,2,Missing,1,760 sq.ft,Nyayo Estate
Khar,1 BHK Apartment,30000,650 sq.ft,Unfurnished,1,Missing,1,550 sq.ft,Nyayo Estate
Khar,2 BHK Apartment,40000,1000 sq.ft,Unfurnished,2,2,1,950 sq.ft,Nyayo Estate
Khar,1 BHK Apartment,30000,600 sq.ft,Unfurnished,1,1,1,550 sq.ft,Nyayo Estate
Khar,2 BHK Apartment,40000,1000 sq.ft,Unfurnished,2,1,1,820 sq.ft,Nyayo Estate
Khar,2 BHK Apartment,40000,850 sq.ft,Unfurnished,2,Missing,1,700 sq.ft,Nyayo Estate
Khar,2 BHK Apartment,40000,1050 sq.ft,Unfurnished,2,1,1,800 sq.ft,Nyayo Estate
Khar,1 BHK Apartment,30000,650 sq.ft,Unfurnished,1,Missing,1,450 sq.ft,Nyayo Estate
Khar,2 BHK Apartment,40000,1050 sq.ft,Unfurnished,2,1,1,750 sq.ft,Nyayo Estate
Khar,1 BHK Apartment,30000,750 sq.ft,Unfurnished,2,Missing,1,550 sq.ft,Nyayo Estate
Khar,2 BHK Apartment,40000,1000 sq.ft,Unfurnished,2,Missing,1,900 sq.ft,Nyayo Estate
Khar,2 BHK Apartment,40000,1100 sq.ft,Unfurnished,2,1,1,775 sq.ft,Nyayo Estate
Kurla,3 BHK Apartment,70000,1500 sq.ft,Unfurnished,3,Missing,1,1200 sq.ft,Nyayo Estate
Kurla,3 BHK Apartment,70000,1450 sq.ft,Unfurnished,3,3,2,1000 sq.ft,Nyayo Estate
Lalbaug,2 BHK Apartment,40000,1000 sq.ft,Unfurnished,2,Missing,1,800 sq.ft,Nyayo Estate
Lalbaug,3 BHK Apartment,70000,925 sq.ft,Unfurnished,3,Missing,1,725 sq.ft,Nyayo Estate
Lalbaug,2 BHK Apartment,40000,1000 sq.ft,Unfurnished,2,Missing,1,800 sq.ft,Nyayo Estate
Lokhandwala,2 BHK Apartment,40000,900 sq.ft,Unfurnished,2,Missing,1,750 sq.ft,Nyayo Estate
Lokhandwala,1 BHK Apartment,30000,900 sq.ft,Unfurnished,2,Missing,0,Missing,Nyayo Estate
Lokhandwala,2 BHK Apartment,40000,1100 sq.ft,Unfurnished,2,2,2,800 sq.ft,Nyayo Estate
Lokhandwala,2 BHK Apartment,40000,1050 sq.ft,Unfurnished,2,2,2,750 sq.ft,Nyayo Estate
Lokhandwala,2 BHK Apartment,40000,750 sq.ft,Unfurnished,2,1,2,700 sq.ft,Nyayo Estate
Lokhandwala,3 BHK Apartment,70000,1500 sq.ft,Unfurnished,5,Missing,0,1000 sq.ft,Nyayo Estate
Lokhandwala,2 BHK Apartment,40000,1250 sq.ft,Unfurnished,2,Missing,1,Missing,Nyayo Estate
Lokhandwala,3 BHK Apartment,70000,890 sq.ft,Unfurnished,2,1,1,840 sq.ft,Nyayo Estate
Mahalakshmi,2 BHK Apartment,40000,900 sq.ft,Unfurnished,3,Missing,1,550 sq.ft,Nyayo Estate
Mahalakshmi,2 BHK Apartment,40000,1250 sq.ft,Unfurnished,2,Missing,1,850 sq.ft,Nyayo Estate
Mahalakshmi,2 BHK Apartment,40000,1250 sq.ft,Unfurnished,2,Missing,1,850 sq.ft,Nyayo Estate
Mahalakshmi,2 BHK Apartment,40000,960 sq.ft,Unfurnished,2,Missing,1,850 sq.ft,Nyayo Estate
Mahalakshmi,2 BHK Apartment,40000,1050 sq.ft,Unfurnished,2,Missing,0,800 sq.ft,Nyayo Estate
Mahim,3 BHK Apartment,70000,1250 sq.ft,Unfurnished,3,3,1,900 sq.ft,Nyayo Estate
Mahim,2 BHK Apartment,40000,750 sq.ft,Unfurnished,2,Missing,1,600 sq.ft,Nyayo Estate
Mahim,1 BHK Apartment,30000,600 sq.ft,Unfurnished,1,Missing,1,400 sq.ft,Nyayo Estate
Mahim,2 BHK Apartment,40000,990 sq.ft,Unfurnished,2,2,1,767 sq.ft,Nyayo Estate
Mahim,2 BHK Apartment,40000,800 sq.ft,Unfurnished,2,1,1,700 sq.ft,Nyayo Estate
Malabar Hill,1 BHK Apartment,30000,650 sq.ft,Unfurnished,1,1,1,500 sq.ft,Nyayo Estate
Malabar Hill,1 BHK Apartment,30000,550 sq.ft,Unfurnished,1,Missing,0,Missing,Nyayo Estate
Malabar Hill,1 BHK Apartment,30000,500 sq.ft,Unfurnished,2,Missing,0,480 sq.ft,Nyayo Estate
Malabar Hill,1 RK Apartment,33000,400 sq.ft,Unfurnished,1,1,1,300 sq.ft,Nyayo Estate
Malabar Hill,1 RK Apartment,33000,350 sq.ft,Unfurnished,1,1,1,250 sq.ft,Nyayo Estate
Malad,3 BHK Apartment,70000,1350 sq.ft,Unfurnished,3,Missing,1,1000 sq.ft,Nyayo Estate
Malad,3 BHK Apartment,70000,1335 sq.ft,Unfurnished,3,Missing,0,1000 sq.ft,Nyayo Estate
Malad,2 BHK Apartment,40000,1250 sq.ft,Unfurnished,2,Missing,2,850 sq.ft,Nyayo Estate
Malad,3 BHK Apartment,70000,1450 sq.ft,Unfurnished,3,1,1,1170 sq.ft,Nyayo Estate
Malad,3 BHK Apartment,70000,1900 sq.ft,Unfurnished,3,1,1,1450 sq.ft,Nyayo Estate
Malad,3 BHK Apartment,70000,1450 sq.ft,Unfurnished,3,1,1,1250 sq.ft,Nyayo Estate
Malad,3 BHK Apartment,70000,1850 sq.ft,Unfurnished,3,2,1,1300 sq.ft,Nyayo Estate
Marine Drive,1 BHK Apartment,30000,550 sq.ft,Unfurnished,1,Missing,0,Missing,Nyayo Estate
Marine Drive,1 BHK Apartment,30000,550 sq.ft,Unfurnished,1,Missing,0,Missing,Nyayo Estate
Marine Drive,1 BHK Apartment,30000,800 sq.ft,Unfurnished,2,Missing,0,750 sq.ft,Nyayo Estate
Marine Drive,1 BHK Apartment,30000,650 sq.ft,Unfurnished,2,Missing,1,600 sq.ft,Nyayo Estate
Matunga,2 BHK Apartment,40000,1000 sq.ft,Unfurnished,2,Missing,1,890 sq.ft,Nyayo Estate
Parel,2 BHK Apartment,40000,1000 sq.ft,Unfurnished,2,Missing,1,800 sq.ft,Nyayo Estate
Parel,2 BHK Apartment,40000,1250 sq.ft,Unfurnished,2,1,0,900 sq.ft,Nyayo Estate
Parel,2 BHK Apartment,40000,1000 sq.ft,Unfurnished,2,Missing,1,800 sq.ft,Nyayo Estate
Parel,2 BHK Apartment,40000,1050 sq.ft,Unfurnished,2,4,2,810 sq.ft,Nyayo Estate
Parel,2 BHK Apartment,40000,1200 sq.ft,Unfurnished,2,2,1,900 sq.ft,Nyayo Estate
Parel,2 BHK Apartment,40000,1050 sq.ft,Unfurnished,2,Missing,0,820 sq.ft,Nyayo Estate
Parel,2 BHK Apartment,40000,1050 sq.ft,Unfurnished,2,Missing,0,750 sq.ft,Nyayo Estate
Parel,3 BHK Apartment,70000,925 sq.ft,Unfurnished,3,Missing,1,725 sq.ft,Nyayo Estate
Parel,2 BHK Apartment,40000,1050 sq.ft,Unfurnished,2,Missing,1,660 sq.ft,Nyayo Estate
Parel,2 BHK Apartment,40000,1200 sq.ft,Unfurnished,2,Missing,0,850 sq.ft,Nyayo Estate
Parel,2 BHK Apartment,40000,950 sq.ft,Unfurnished,2,Missing,1,Missing,Nyayo Estate
Parel,2 BHK Apartment,40000,750 sq.ft,Unfurnished,2,1,1,620 sq.ft,Nyayo Estate
Powai,3 BHK Apartment,70000,1350 sq.ft,Unfurnished,2,Missing,1,900 sq.ft,Nyayo Estate
Powai,2 BHK Apartment,40000,1537 sq.ft,Unfurnished,3,Missing,1,915 sq.ft,Nyayo Estate
Powai,2 BHK Apartment,40000,1150 sq.ft,Unfurnished,2,1,1,800 sq.ft,Nyayo Estate
Powai,3 BHK Apartment,70000,1414 sq.ft,Unfurnished,2,1,2,900 sq.ft,Nyayo Estate
Powai,3 BHK Apartment,70000,1100 sq.ft,Unfurnished,3,Missing,1,970 sq.ft,Nyayo Estate
Powai,3 BHK Apartment,70000,1450 sq.ft,Unfurnished,3,1,1,1000 sq.ft,Nyayo Estate
Powai,3 BHK Apartment,70000,1400 sq.ft,Unfurnished,3,Missing,1,900 sq.ft,Nyayo Estate
Powai,2 BHK Apartment,40000,1150 sq.ft,Unfurnished,2,Missing,1,790 sq.ft,Nyayo Estate
Powai,3 BHK Apartment,70000,1800 sq.ft,Unfurnished,3,1,2,Missing,Nyayo Estate
Powai,3 BHK Apartment,70000,1400 sq.ft,Unfurnished,3,1,1,Missing,Nyayo Estate
Powai,3 BHK Apartment,70000,1400 sq.ft,Unfurnished,3,1,1,1100 sq.ft,Nyayo Estate
Powai,2 BHK Apartment,40000,1150 sq.ft,Unfurnished,2,Missing,1,834 sq.ft,Nyayo Estate
Powai,3 BHK Apartment,70000,1313 sq.ft,Unfurnished,3,Missing,1,900 sq.ft,Nyayo Estate
Powai,2 BHK Apartment,40000,1130 sq.ft,Unfurnished,2,1,1,850 sq.ft,Nyayo Estate
Powai,3 BHK Apartment,70000,1350 sq.ft,Unfurnished,3,1,1,950 sq.ft,Nyayo Estate
Powai,2 BHK Apartment,40000,885 sq.ft,Unfurnished,2,1,0,650 sq.ft,Nyayo Estate
Powai,2 BHK Apartment,40000,1000 sq.ft,Unfurnished,Missing,Missing,0,860 sq.ft,Nyayo Estate
Powai,3 BHK Apartment,70000,1300 sq.ft,Unfurnished,2,1,1,Missing,Nyayo Estate
Powai,3 BHK Apartment,70000,1400 sq.ft,Unfurnished,3,Missing,1,Missing,Nyayo Estate
Prabhadevi,2 BHK Apartment,40000,1000 sq.ft,Unfurnished,2,Missing,1,750 sq.ft,Nyayo Estate
Prabhadevi,2 BHK Apartment,40000,890 sq.ft,Unfurnished,2,2,1,750 sq.ft,Nyayo Estate
Prabhadevi,2 BHK Apartment,40000,950 sq.ft,Unfurnished,2,Missing,0,750 sq.ft,Nyayo Estate
Prabhadevi,2 BHK Apartment,40000,900 sq.ft,Unfurnished,2,2,1,750 sq.ft,Nyayo Estate
Santacruz,2 BHK Apartment,40000,1000 sq.ft,Unfurnished,2,2,1,950 sq.ft,Nyayo Estate
Santacruz,2 BHK Apartment,40000,840 sq.ft,Unfurnished,2,3,1,750 sq.ft,Nyayo Estate
Santacruz,2 BHK Apartment,40000,1200 sq.ft,Unfurnished,2,Missing,0,620 sq.ft,Nyayo Estate
Sion,2 BHK Apartment,40000,1150 sq.ft,Unfurnished,3,1,1,938 sq.ft,Nyayo Estate
Sion,2 BHK Apartment,40000,1500 sq.ft,Unfurnished,2,2,1,1000 sq.ft,Nyayo Estate
Sion,2 BHK Apartment,40000,750 sq.ft,Unfurnished,2,2,1,Missing,Nyayo Estate
Sion,2 BHK Apartment,40000,1000 sq.ft,Unfurnished,2,Missing,3,800 sq.ft,Nyayo Estate
Sion,3 BHK Apartment,70000,1100 sq.ft,Unfurnished,2,2,1,1000 sq.ft,Nyayo Estate
Vidyavihar,3 BHK Apartment,90000,1300 sq.ft,Fully Furnished,2,2,1,950 sq.ft,UpperHill
Vidyavihar,3 BHK Apartment,90000,1370 sq.ft,Unfurnished,3,Missing,0,900 sq.ft,UpperHill
Vikhroli,3 BHK Apartment,90000,1400 sq.ft,Fully Furnished,3,1,1,1050 sq.ft,UpperHill
Vikhroli,2 BHK Apartment,65000,950 sq.ft,Unfurnished,2,1,1,750 sq.ft,UpperHill
Vikhroli,2 BHK Apartment,65000,1021 sq.ft,Unfurnished,2,Missing,1,750 sq.ft,UpperHill
Vikhroli,3 BHK Apartment,90000,1560 sq.ft,Unfurnished,2,1,1,954 sq.ft,UpperHill
Vikhroli,3 BHK Apartment,90000,1560 sq.ft,Unfurnished,2,1,1,954 sq.ft,UpperHill
Vikhroli,2 BHK Apartment,65000,1100 sq.ft,Unfurnished,2,1,1,800 sq.ft,UpperHill
Vikhroli,3 BHK Apartment,90000,1435 sq.ft,Unfurnished,3,1,1,1050 sq.ft,UpperHill
Vile Parle,2 BHK Apartment,65000,1000 sq.ft,Fully Furnished,2,Missing,0,800 sq.ft,UpperHill
Vile Parle,2 BHK Apartment,65000,910 sq.ft,Fully Furnished,2,Missing,1,710 sq.ft,UpperHill
Vile Parle,2 BHK Apartment,65000,750 sq.ft,Fully Furnished,2,Missing,1,650 sq.ft,UpperHill
Vile Parle,2 BHK Apartment,65000,1003 sq.ft,Unfurnished,2,Missing,1,671 sq.ft,UpperHill
Vile Parle,3 BHK Apartment,90000,1250 sq.ft,Unfurnished,3,Missing,1,1000 sq.ft,UpperHill
Vile Parle,3 BHK Apartment,90000,850 sq.ft,Fully Furnished,2,Missing,1,650 sq.ft,UpperHill
Vile Parle,2 BHK Apartment,65000,1000 sq.ft,Unfurnished,3,Missing,1,807 sq.ft,UpperHill
Vile Parle,3 BHK Apartment,90000,1116 sq.ft,Fully Furnished,2,Missing,1,930 sq.ft,UpperHill
Vile Parle,3 BHK Apartment,90000,960 sq.ft,Unfurnished,3,Missing,1,800 sq.ft,UpperHill
Vile Parle,3 BHK Apartment,90000,1000 sq.ft,Fully Furnished,3,1,1,850 sq.ft,UpperHill
Vile Parle,2 BHK Apartment,65000,850 sq.ft,Unfurnished,Missing,Missing,0,Missing,UpperHill
Vile Parle,3 BHK Apartment,90000,1000 sq.ft,Unfurnished,3,Missing,1,850 sq.ft,UpperHill
Vile Parle,3 BHK Apartment,90000,1650 sq.ft,Unfurnished,3,Missing,1,1500 sq.ft,UpperHill
Vile Parle,2 BHK Apartment,65000,850 sq.ft,Fully Furnished,2,1,1,700 sq.ft,UpperHill
Vile Parle,2 BHK Apartment,65000,1200 sq.ft,Fully Furnished,2,1,2,850 sq.ft,UpperHill
Vile Parle,2 BHK Apartment,65000,900 sq.ft,Fully Furnished,2,1,0,700 sq.ft,UpperHill
Vile Parle,2 BHK Apartment,65000,950 sq.ft,Fully Furnished,2,1,1,Missing,UpperHill
Vile Parle,2 BHK Apartment,65000,950 sq.ft,Fully Furnished,2,1,2,750 sq.ft,UpperHill
Vile Parle,2 BHK Apartment,65000,850 sq.ft,Fully Furnished,2,Missing,0,Missing,UpperHill
Vile Parle,2 BHK Apartment,65000,850 sq.ft,Fully Furnished,4,1,1,650 sq.ft,UpperHill
Vile Parle,2 BHK Apartment,65000,1200 sq.ft,Fully Furnished,2,Missing,2,750 sq.ft,UpperHill
Vile Parle,3 BHK Apartment,90000,900 sq.ft,Unfurnished,2,Missing,1,Missing,UpperHill
Vile Parle,3 BHK Apartment,90000,900 sq.ft,Unfurnished,3,2,1,900 sq.ft,UpperHill
Wadala,2 BHK Apartment,65000,850 sq.ft,Unfurnished,2,Missing,2,850 sq.ft,UpperHill
Wadala,2 BHK Apartment,65000,1000 sq.ft,Fully Furnished,2,Missing,1,800 sq.ft,UpperHill
Wadala,2 BHK Apartment,65000,850 sq.ft,Fully Furnished,2,Missing,2,850 sq.ft,UpperHill
Wadala,2 BHK Apartment,65000,850 sq.ft,Fully Furnished,2,Missing,2,850 sq.ft,UpperHill
Wadala,2 BHK Apartment,65000,840 sq.ft,Unfurnished,2,Missing,2,840 sq.ft,UpperHill
Wadala,3 BHK Apartment,90000,1100 sq.ft,Fully Furnished,2,Missing,1,850 sq.ft,UpperHill
Wadala,2 BHK Apartment,65000,1050 sq.ft,Fully Furnished,2,Missing,1,750 sq.ft,UpperHill
Wadala,2 BHK Apartment,65000,1156 sq.ft,Unfurnished,2,3,,925 sq.ft,UpperHill
Worli,2 BHK Apartment,65000,950 sq.ft,Fully Furnished,2,Missing,1,700 sq.ft,UpperHill
Worli,1 BHK Apartment,65000,780 sq.ft,Fully Furnished,2,Missing,1,650 sq.ft,UpperHill
Worli,2 BHK Apartment,65000,700 sq.ft,Fully Furnished,2,Missing,1,650 sq.ft,UpperHill
Worli,1 BHK Apartment,65000,550 sq.ft,Fully Furnished,1,Missing,1,Missing,UpperHill
Worli,2 BHK Apartment,65000,910 sq.ft,Fully Furnished,2,Missing,1,750 sq.ft,UpperHill
Worli,2 BHK Apartment,65000,750 sq.ft,Fully Furnished,2,2,2,500 sq.ft,UpperHill
Worli,2 BHK Apartment,65000,1000 sq.ft,Fully Furnished,2,Missing,2,900 sq.ft,UpperHill
Worli,1 BHK Apartment,65000,750 sq.ft,Fully Furnished,1,1,2,Missing,UpperHill
Worli,1 BHK Apartment,65000,800 sq.ft,Fully Furnished,1,1,2,Missing,UpperHill
Worli,2 BHK Apartment,65000,1000 sq.ft,Fully Furnished,2,Missing,1,800 sq.ft,UpperHill
Worli,2 BHK Apartment,65000,900 sq.ft,Fully Furnished,2,Missing,1,850 sq.ft,UpperHill
Worli,2 BHK Apartment,65000,900 sq.ft,Fully Furnished,2,Missing,1,750 sq.ft,UpperHill
Worli,1 BHK Apartment,65000,700 sq.ft,Fully Furnished,1,Missing,2,600 sq.ft,UpperHill
Worli,1 BHK Apartment,65000,700 sq.ft,Fully Furnished,1,Missing,2,600 sq.ft,UpperHill
Worli,2 BHK Apartment,65000,1100 sq.ft,Fully Furnished,2,Missing,1,850 sq.ft,UpperHill
Worli,2 BHK Apartment,65000,1000 sq.ft,Fully Furnished,2,Missing,0,Missing,UpperHill
Worli,2 BHK Apartment,65000,900 sq.ft,Fully Furnished,2,2,1,750 sq.ft,UpperHill
Worli,2 BHK Apartment,65000,900 sq.ft,Fully Furnished,1,Missing,0,550 sq.ft,UpperHill
Worli,1 BHK Apartment,65000,1250 sq.ft,Fully Furnished,2,1,1,900 sq.ft,UpperHill
Worli,2 BHK Apartment,65000,1000 sq.ft,Fully Furnished,2,Missing,0,850 sq.ft,UpperHill
Worli,2 BHK Apartment,65000,900 sq.ft,Fully Furnished,2,Missing,2,800 sq.ft,UpperHill
Worli,1 BHK Apartment,65000,650 sq.ft,Fully Furnished,1,Missing,1,550 sq.ft,UpperHill
Worli,1 BHK Apartment,65000,650 sq.ft,Fully Furnished,1,1,1,550 sq.ft,UpperHill
Worli,2 BHK Apartment,65000,950 sq.ft,Fully Furnished,2,Missing,2,850 sq.ft,UpperHill
Worli,1 BHK Apartment,65000,700 sq.ft,Fully Furnished,2,Missing,2,600 sq.ft,UpperHill
Worli,2 BHK Apartment,65000,1050 sq.ft,Fully Furnished,2,Missing,1,Missing,UpperHill
