Locality,Type,Rent/Month,Build_up_area(sq.ft),Furnishing,Bathrooms,Balcony,Parking,Carpet_area(sq.ft),
Khar,3 BHK Apartment,240000,1600 sq.ft,Fully Furnished,3,1,1,1400 sq.ft,Muthaiga
Santacruz,3 BHK Apartment,240000,2000 sq.ft,Fully Furnished,3,1,2,1300 sq.ft,Muthaiga
Worli,3 BHK Apartment,235000,2400 sq.ft,Fully Furnished,4,Missing,2,1750 sq.ft,Muthaiga
Bandra,3 BHK Apartment,230000,2800 sq.ft,Fully Furnished,4,1,3,2000 sq.ft,Muthaiga
Bandra,3 BHK Apartment,225000,2500 sq.ft,Fully Furnished,2,2,1,2200 sq.ft,Muthaiga
Juhu,3 BHK Apartment,225000,2160 sq.ft,Fully Furnished,2,2,2,1800 sq.ft,Muthaiga
Juhu,3 BHK Apartment,225000,2160 sq.ft,Fully Furnished,3,2,2,1800 sq.ft,Muthaiga
Juhu,3 BHK Apartment,225000,2160 sq.ft,Fully Furnished,3,Missing,0,1800 sq.ft,Muthaiga
Juhu,3 BHK Apartment,250000,1800 sq.ft,Unfurnished,3,Missing,1,1200 sq.ft,Muthaiga
Khar,3 BHK Apartment,225000,2000 sq.ft,Fully Furnished,4,1,2,1450 sq.ft,Muthaiga
Khar,3 BHK Apartment,225000,1500 sq.ft,Fully Furnished,4,3,2,1350 sq.ft,Muthaiga
Khar,3 BHK Apartment,225000,2200 sq.ft,Fully Furnished,3,Missing,2,1550 sq.ft,Muthaiga
Marine Drive,2 BHK Apartment,200000,1500 sq.ft,Fully Furnished,2,Missing,1,1400 sq.ft,Muthaiga
Nariman Point,3 BHK Apartment,225000,2250 sq.ft,Fully Furnished,3,1,2,2000 sq.ft,Muthaiga
Tardeo,2 BHK Apartment,200000,800 sq.ft,Fully Furnished,2,1,1,Missing,Muthaiga
Khar,3 BHK Apartment,220000,1800 sq.ft,Fully Furnished,3,2,1,1550 sq.ft,Muthaiga
Worli,3 BHK Apartment,215000,1950 sq.ft,Fully Furnished,3,1,1,Missing,Muthaiga
Juhu,3 BHK Apartment,210000,1800 sq.ft,Fully Furnished,Missing,Missing,0,Missing,Muthaiga
Khar,3 BHK Apartment,210000,1200 sq.ft,Fully Furnished,3,3,1,Missing,Muthaiga
Nariman Point,3 BHK Apartment,210000,2000 sq.ft,Fully Furnished,3,2,1,Missing,Muthaiga
Powai,3 BHK Apartment,210000,2125 sq.ft,Fully Furnished,3,2,3,1875 sq.ft,Muthaiga
Powai,3 BHK Apartment,210000,2150 sq.ft,Fully Furnished,3,1,2,Missing,Muthaiga
Prabhadevi,3 BHK Apartment,210000,1500 sq.ft,Fully Furnished,3,Missing,2,Missing,Muthaiga
Worli,3 BHK Apartment,210000,1100 sq.ft,Fully Furnished,2,2,1,900 sq.ft,Muthaiga
Juhu,3 BHK Apartment,201000,1800 sq.ft,Fully Furnished,3,3,1,1383 sq.ft,Muthaiga
Bandra,3 BHK Apartment,100000,1550 sq.ft,Fully Furnished,3,1,1,1190 sq.ft,Kilimani
Bandra,3 BHK Apartment,80000,1700 sq.ft,Unfurnished,4,Missing,2,1150 sq.ft,Kilimani
Bandra,2 BHK Apartment,60000,950 sq.ft,Unfurnished,2,Missing,1,800 sq.ft,Kilimani
Bandra,3 BHK Apartment,80000,1150 sq.ft,Unfurnished,3,Missing,1,1100 sq.ft,Kilimani
Bandra,3 BHK Apartment,80000,1920 sq.ft,Unfurnished,3,Missing,1,1600 sq.ft,Kilimani
Bandra,2 BHK Apartment,60000,1000 sq.ft,Unfurnished,2,Missing,1,700 sq.ft,Kilimani
Bandra,3 BHK Apartment,80000,1400 sq.ft,Unfurnished,3,3,1,1200 sq.ft,Kilimani
Bandra,3 BHK Apartment,80000,1400 sq.ft,Unfurnished,3,3,1,1250 sq.ft,Kilimani
Bandra,3 BHK Apartment,80000,1687 sq.ft,Unfurnished,3,2,2,1250 sq.ft,Kilimani
Bandra,3 BHK Apartment,80000,1380 sq.ft,Unfurnished,3,1,2,1150 sq.ft,Kilimani
Dadar,2 BHK Apartment,60000,1000 sq.ft,Unfurnished,2,Missing,1,800 sq.ft,Kilimani
Juhu,3 BHK Apartment,80000,1850 sq.ft,Unfurnished,3,1,2,1350 sq.ft,Kilimani
Juhu,3 BHK Apartment,80000,1850 sq.ft,Unfurnished,3,1,2,1150 sq.ft,Kilimani
Juhu,3 BHK Apartment,80000,2450 sq.ft,Unfurnished,3,Missing,1,1650 sq.ft,Kilimani
Khar,3 BHK Apartment,80000,1300 sq.ft,Unfurnished,3,Missing,1,1150 sq.ft,Kilimani
Khar,2 BHK Apartment,60000,1000 sq.ft,Unfurnished,2,Missing,1,750 sq.ft,Kilimani
Khar,3 BHK Apartment,80000,1500 sq.ft,Unfurnished,3,2,1,1300 sq.ft,Kilimani
Khar,3 BHK Apartment,80000,2000 sq.ft,Unfurnished,4,1,2,1450 sq.ft,Kilimani
Khar,3 BHK Apartment,80000,2100 sq.ft,Unfurnished,3,3,3,1550 sq.ft,Kilimani
Khar,3 BHK Apartment,80000,1650 sq.ft,Unfurnished,4,1,3,1400 sq.ft,Kilimani
Khar,3 BHK Apartment,80000,1650 sq.ft,Unfurnished,3,2,1,1350 sq.ft,Kilimani
Khar,2 BHK Apartment,60000,1700 sq.ft,Unfurnished,2,2,1,1500 sq.ft,Kilimani
Malabar Hill,3 BHK Apartment,100000,1750 sq.ft,Fully Furnished,3,Missing,2,1500 sq.ft,Kilimani
Malabar Hill,3 BHK Apartment,100000,1800 sq.ft,Fully Furnished,3,1,1,1525 sq.ft,Kilimani
Marine Drive,2 BHK Apartment,100000,950 sq.ft,Fully Furnished,2,1,1,900 sq.ft,Kilimani
Powai,3 BHK Apartment,100000,2500 sq.ft,Fully Furnished,3,3,3,Missing,Kilimani
Tardeo,2 BHK Apartment,100000,1300 sq.ft,Fully Furnished,3,Missing,0,1150 sq.ft,Kilimani
Tardeo,3 BHK Apartment,100000,1300 sq.ft,Fully Furnished,3,Missing,2,1120 sq.ft,Kilimani
Worli,3 BHK Apartment,100000,2150 sq.ft,Fully Furnished,3,Missing,0,Missing,Kilimani
Worli,3 BHK Apartment,100000,1900 sq.ft,Fully Furnished,3,1,2,1700 sq.ft,Kilimani
Worli,3 BHK Apartment,100000,2650 sq.ft,Fully Furnished,4,2,,2080 sq.ft,Kilimani
Worli,3 BHK Apartment,100000,2250 sq.ft,Fully Furnished,4,Missing,4,1650 sq.ft,Kilimani
Worli,3 BHK Apartment,100000,2250 sq.ft,Fully Furnished,4,Missing,,1450 sq.ft,Kilimani
Worli,3 BHK Apartment,100000,1370 sq.ft,Fully Furnished,3,Missing,2,1100 sq.ft,Kilimani
Worli,3 BHK Apartment,100000,1500 sq.ft,Fully Furnished,3,1,0,1200 sq.ft,Kilimani
Juhu,3 BHK Apartment,80000,1750 sq.ft,Unfurnished,3,1,1,1600 sq.ft,Kilimani
Khar,3 BHK Apartment,80000,1350 sq.ft,Unfurnished,3,Missing,1,1250 sq.ft,Kilimani
Khar,3 BHK Apartment,100000,2200 sq.ft,Fully Furnished,3,Missing,2,1550 sq.ft,Kilimani
Malabar Hill,3 BHK Apartment,100000,1600 sq.ft,Fully Furnished,4,Missing,0,1400 sq.ft,Kilimani
Marine Drive,3 BHK Apartment,100000,1300 sq.ft,Fully Furnished,3,3,3,1200 sq.ft,Kilimani
Parel,3 BHK Apartment,100000,1835 sq.ft,Fully Furnished,4,1,2,Missing,Kilimani
Worli,2 BHK Apartment,100000,1320 sq.ft,Fully Furnished,2,Missing,2,836 sq.ft,Kilimani
Worli,2 BHK Apartment,100000,1050 sq.ft,Fully Furnished,2,Missing,1,836 sq.ft,Kilimani
Vile Parle,3 BHK Apartment,100000,1550 sq.ft,Fully Furnished,3,Missing,1,1350 sq.ft,Kilimani
